trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint,*shape_id,*seq#,*Dist(m),*Comment
16_1_DUBROVNIK_Z,5:55:00,5:55:00,PLAT_P,10,,,,,,,0,,,,
16_1_DUBROVNIK_Z,5:57:00,5:57:00,PLAT,20,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:00:00,6:00:00,SOLINE,30,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:03:00,6:03:00,ASTAREA,40,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:06:00,6:06:00,TRGOVISTE,50,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:08:00,6:08:00,MLINI,60,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:11:00,6:11:00,AMBULANTA_ZUPA,70,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:13:00,6:13:00,SKOLA_ZUPA,80,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:15:00,6:15:00,MLJEKARA,90,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:17:00,6:17:00,BJELICE,100,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:18:00,6:18:00,BJELICE_DRUGA,110,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:20:00,6:20:00,MANDALJENA,120,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:22:00,6:22:00,CELOPECI,130,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:24:00,6:24:00,ZAKULA,140,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:26:00,6:26:00,SV._MATIJA,150,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:28:00,6:28:00,TISKARA,160,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:30:00,6:30:00,ZONA,170,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:32:00,6:32:00,DUBAC,180,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:42:00,6:42:00,PERA_BAKICA_1,190,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:44:00,6:44:00,VLADIMIRA_NAZORA_2_(POD_DUBOM),200,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:46:00,6:46:00,GRADSKI_BAZEN,210,,,,,,,0,,,,
16_1_DUBROVNIK_Z,6:48:00,6:48:00,AUTOBUSNI_KOLODVOR_1,220,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:00:00,7:00:00,PLAT_P,10,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:02:00,7:02:00,PLAT,20,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:05:00,7:05:00,SOLINE,30,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:08:00,7:08:00,ASTAREA,40,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:11:00,7:11:00,TRGOVISTE,50,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:13:00,7:13:00,MLINI,60,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:16:00,7:16:00,AMBULANTA_ZUPA,70,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:18:00,7:18:00,SKOLA_ZUPA,80,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:20:00,7:20:00,MLJEKARA,90,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:22:00,7:22:00,BJELICE,100,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:23:00,7:23:00,BJELICE_DRUGA,110,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:25:00,7:25:00,MANDALJENA,120,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:27:00,7:27:00,CELOPECI,130,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:29:00,7:29:00,ZAKULA,140,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:31:00,7:31:00,SV._MATIJA,150,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:33:00,7:33:00,TISKARA,160,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:35:00,7:35:00,ZONA,170,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:37:00,7:37:00,DUBAC,180,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:47:00,7:47:00,PERA_BAKICA_1,190,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:49:00,7:49:00,VLADIMIRA_NAZORA_2_(POD_DUBOM),200,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:51:00,7:51:00,GRADSKI_BAZEN,210,,,,,,,0,,,,
16_2_DUBROVNIK_Z,7:53:00,7:53:00,AUTOBUSNI_KOLODVOR_1,220,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:30:00,12:30:00,PLAT_P,10,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:32:00,12:32:00,PLAT,20,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:35:00,12:35:00,SOLINE,30,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:38:00,12:38:00,ASTAREA,40,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:41:00,12:41:00,TRGOVISTE,50,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:43:00,12:43:00,MLINI,60,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:46:00,12:46:00,AMBULANTA_ZUPA,70,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:48:00,12:48:00,SKOLA_ZUPA,80,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:50:00,12:50:00,MLJEKARA,90,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:52:00,12:52:00,BJELICE,100,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:53:00,12:53:00,BJELICE_DRUGA,110,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:55:00,12:55:00,MANDALJENA,120,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:57:00,12:57:00,CELOPECI,130,,,,,,,0,,,,
16_3_DUBROVNIK_Z,12:59:00,12:59:00,ZAKULA,140,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:01:00,13:01:00,SV._MATIJA,150,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:03:00,13:03:00,TISKARA,160,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:05:00,13:05:00,ZONA,170,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:07:00,13:07:00,DUBAC,180,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:17:00,13:17:00,PERA_BAKICA_1,190,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:19:00,13:19:00,VLADIMIRA_NAZORA_2_(POD_DUBOM),200,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:21:00,13:21:00,GRADSKI_BAZEN,210,,,,,,,0,,,,
16_3_DUBROVNIK_Z,13:23:00,13:23:00,AUTOBUSNI_KOLODVOR_1,220,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:00:00,9:00:00,PLAT_P,10,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:02:00,9:02:00,PLAT,20,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:05:00,9:05:00,SOLINE,30,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:08:00,9:08:00,ASTAREA,40,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:11:00,9:11:00,TRGOVISTE,50,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:13:00,9:13:00,MLINI,60,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:16:00,9:16:00,AMBULANTA_ZUPA,70,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:18:00,9:18:00,SKOLA_ZUPA,80,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:20:00,9:20:00,MLJEKARA,90,,,,,,,0,,,,
16_1_DUBROVNIK_M,9:23:00,9:23:00,CIBACA_GORICA,100,,,,,,,0,,,,
